median_house_value,predicted
245800,197058.03779048173
137900,157508.79119297274
218200,202099.26260466396
220800,173501.82354619962
170500,213795.18493472986
75000,108004.59544874034
269400,284796.04504012153
228900,249128.96375132052
500001,391338.74222130305
80800,49301.34736358434
170000,-23006.8058642099
87800,123969.03057714408
242200,245541.36126984053
165500,194417.90813483714
164000,62855.58599397396
238000,176605.63000498706
283300,216638.4027580669
249400,283142.92421156226
143600,219306.222288962
333100,276411.82034284715
164900,230531.6480186847
216100,162365.92320158103
188700,215647.36323499534
59600,83376.43417951031
181400,226542.74820527912
224200,261420.49411030632
238200,260869.79007609855
210300,242308.481281754
253400,255541.20798843558
85800,107581.54670797083
90900,161609.7996339071
131300,201640.46106415184
209700,195785.29321209842
244800,213415.5890396614
283800,275917.1535114339
400000,484640.6750851261
500001,533806.3101422028
73500,76573.73336154484
169600,164526.7456086592
340300,323443.71335294406
142500,217314.05020942207
71800,66773.24318380503
197200,240032.0949594525
114600,187050.12098324456
350000,187126.19517801405
157000,145047.25282978415
111500,182476.19916091184
500001,360986.94977675553
346200,213659.28338743368
212100,214340.21470262707
177500,203639.36683162765
159600,225319.62881917495
145900,144293.2511367743
176300,214361.42499975194
133700,187851.78001566848
495500,290807.0736311544
213400,211588.96169241547
266300,250523.2148189639
500001,423811.1905679879
67500,44328.57305772107
170900,153590.30844597402
203400,184883.09490861348
66900,7465.5010119227445
365900,266285.3518386857
347700,239857.7203241496
422000,332285.06343359407
131300,136107.4145474707
187100,225593.94020203044
200000,194252.92878892674
242800,277087.6398234487
234300,257120.4812417121
269000,335368.4388165886
112500,252239.232032293
500001,399355.30597512994
199800,193621.38467234856
252600,267702.36050358217
83500,162400.92839911836
323800,299101.46358692023
141000,154862.66490048775
159500,239533.05447479035
477800,387360.488834815
82800,159223.2980914379
123800,56123.30703420163
340400,373108.05569476413
186200,181103.71677786155
248700,276513.5961506963
188000,197972.42501763866
183000,114277.01199609888
494700,335856.3650104515
308800,259470.64719457694
255400,276786.620039316
155100,82641.04498160488
103000,76711.25891787522
50500,124281.66558263457
482200,355218.5423715457
50000,55478.80281030944
500001,367226.00405952934
55000,64845.49291296753
204200,198449.72176339984
142000,180658.4481606162
154600,108372.54202451365
83800,97986.16228104841
219400,72954.3957313916
